Variant,F1_Sch,F2_RR,F3_Lun,F4_Rast,F5_Shub,F6_Ack,F7_Hyb,F8_Comp,Friedman_Rank
Full GOA (Baseline),2.4077e+03,8.9254e+01,9.2752e+01,2.7657e+01,-1.8673e+02,4.9060e-01,2.4870e+02,4.3966e+02,4.25
w/o Gamme Diff Update (GDU),4.7862e+03,9.5390e+01,9.7194e+01,1.8948e+01,-1.8673e+02,1.0367e+00,7.3309e+02,7.6299e+02,8.38
w/o Adaptive Param Memory (APM),4.5101e+03,9.4976e+01,9.5585e+01,2.2429e+01,-1.8673e+02,1.0366e+00,9.6011e+02,5.7248e+02,7.25
w/o Gumii Eigenspace Exploration (GEE),2.4395e+03,9.2193e+01,9.6040e+01,2.7407e+01,-1.8673e+02,5.6255e-01,1.6801e+02,4.2960e+02,5.00
w/o Butta Ceremony,2.0622e+03,8.0270e+01,9.5091e+01,3.0977e+01,-1.8673e+02,1.2831e+00,2.1934e+02,4.6153e+02,5.62
w/o Yuba Archive,2.3455e+03,8.8510e+01,8.8466e+01,2.6409e+01,-1.8673e+02,9.0227e-01,1.5275e+03,4.2475e+02,4.38
w/o Siinqee Recovery,2.4077e+03,8.9254e+01,9.2752e+01,2.7657e+01,-1.8673e+02,6.2834e-01,3.0230e+02,4.3966e+02,5.50
w/o Ally Sharing,2.2717e+03,8.9403e+01,9.6290e+01,3.0127e+01,-1.8673e+02,7.4325e-01,3.6079e+02,4.1782e+02,5.75
w/o NLPSR (fixed K=5),1.5408e+03,8.6862e+01,9.1269e+01,1.7729e+01,-1.8673e+02,1.1630e-01,6.2587e+01,2.1466e+02,1.25
w/o G5 Covariance Refinement,2.3284e+03,1.2284e+02,1.1171e+02,3.4904e+01,-1.8673e+02,5.1436e-01,4.6062e+02,4.9845e+02,7.62
