Function,Type,Metric,GOA,PSO,GWO,WOA,DE,RIME,MVO,TLBO,SO,SHO,SCSO,SLO,CCO
F1:BentCigar (Unimodal),Unimodal,Mean,6.4110e+07,6.7193e+07,8.0533e+09,4.4214e+09,2.3434e+10,4.4186e+09,1.5553e+06,2.1721e+08,3.7392e+09,4.0767e+08,4.5412e+10,6.9202e+10,4.3056e+09
,,Std,1.8555e+07,3.7485e+07,4.2108e+09,2.2929e+09,5.7332e+09,2.3985e+09,4.4078e+05,2.5973e+08,2.5713e+09,2.1184e+08,1.5398e+10,1.0397e+10,7.3112e+08
F3:Zakharov (Unimodal),Unimodal,Mean,8.3336e+04,1.6650e+05,1.2332e+05,1.2130e+05,4.0418e+05,1.3343e+05,7.1469e+04,1.6438e+05,3.1789e+05,1.7071e+05,3.0867e+05,2.9557e+05,3.0168e+05
,,Std,1.6469e+04,3.7535e+04,1.9197e+04,2.2987e+04,4.5703e+04,1.8476e+04,2.1197e+04,2.2322e+04,7.2473e+04,2.4964e+04,1.0275e+05,1.4546e+05,2.8359e+04
F4:Rosenbrock (Multimodal),Multimodal,Mean,3.7888e+05,2.8588e+05,6.7119e+08,5.7036e+08,5.4879e+09,1.0994e+08,5.0225e+04,4.7239e+06,4.8789e+08,5.6334e+06,2.5774e+10,4.4845e+10,3.2732e+08
,,Std,2.6551e+05,2.4395e+05,7.8779e+08,6.1323e+08,2.8820e+09,8.2640e+07,1.0965e+05,9.1889e+06,4.7206e+08,6.3081e+06,1.5024e+10,1.3078e+10,1.1338e+08
F5:Rastrigin (Multimodal),Multimodal,Mean,6.9739e+02,6.5329e+02,9.6835e+03,9.7956e+03,2.4902e+04,7.3640e+03,4.9606e+02,2.1633e+03,7.3220e+03,1.0639e+03,8.0417e+04,9.2951e+04,4.7777e+03
,,Std,7.7012e+01,6.9986e+01,3.6859e+03,3.3775e+03,5.7543e+03,3.1308e+03,6.9748e+01,1.1221e+03,2.8068e+03,3.3394e+02,2.1519e+04,1.0879e+04,8.2952e+02
F6:ScafferF6 (Multimodal),Multimodal,Mean,2.1561e+01,2.2103e+01,2.1963e+01,2.2526e+01,2.3402e+01,2.1023e+01,2.2100e+01,2.2534e+01,2.2678e+01,2.3005e+01,2.2995e+01,2.3238e+01,2.2942e+01
,,Std,3.7297e-01,3.7701e-01,3.8257e-01,6.4765e-01,1.3445e-01,6.5919e-01,7.7095e-01,2.9391e-01,4.8133e-01,2.7471e-01,4.9186e-01,3.1217e-01,1.6534e-01
F7:LunacekBiRast (Multimodal),Multimodal,Mean,7.4564e+02,6.9290e+02,8.8589e+03,8.0824e+03,2.1845e+04,7.9616e+03,5.4399e+02,2.0618e+03,6.6786e+03,1.0938e+03,6.7791e+04,7.7047e+04,4.6324e+03
,,Std,7.1992e+01,1.1254e+02,3.1948e+03,2.0096e+03,4.7979e+03,3.2754e+03,8.2989e+01,9.5948e+02,2.0295e+03,2.7736e+02,1.4778e+04,9.4287e+03,5.9633e+02
F8:NonContRast (Multimodal),Multimodal,Mean,7.8203e+02,7.3146e+02,9.6996e+03,1.0495e+04,2.2901e+04,1.1481e+04,6.6779e+02,2.7897e+03,9.4366e+03,9.8929e+02,9.6771e+04,8.8945e+04,4.9672e+03
,,Std,1.1402e+02,1.1345e+02,3.1583e+03,2.8531e+03,4.3847e+03,3.8586e+03,1.4479e+02,1.5509e+03,2.4930e+03,2.3012e+02,2.2031e+04,9.9135e+03,7.9286e+02
F9:Levy (Multimodal),Multimodal,Mean,6.1165e+03,3.2063e+03,1.0957e+04,2.7287e+04,1.8007e+04,9.3183e+03,1.7420e+04,7.1693e+03,2.3501e+04,2.8246e+02,3.2487e+04,3.9341e+04,1.4918e+04
,,Std,2.8020e+03,3.9130e+03,5.1896e+03,8.5573e+03,4.4524e+03,3.2964e+03,9.0415e+03,2.9547e+03,2.4329e+03,1.7407e+02,5.0031e+03,7.7339e+03,3.3214e+03
F10:ModSchwefel (Multimodal),Multimodal,Mean,1.0129e+03,8.0765e+02,1.5640e+03,3.5317e+03,6.2690e+03,1.5042e+03,1.6719e+03,1.4410e+03,4.3632e+03,1.5169e+02,7.4623e+03,8.5082e+03,2.5632e+03
,,Std,5.1596e+02,4.5827e+02,5.5237e+02,1.1950e+03,6.9571e+02,5.4015e+02,7.6393e+02,5.6564e+02,1.0576e+03,9.5588e+01,1.4152e+03,1.2786e+03,5.7183e+02
F11:Hybrid1 (N=3),Hybrid,Mean,8.1111e+04,6.3954e+04,4.0289e+06,1.3866e+06,3.0679e+07,4.6772e+05,1.4866e+05,2.4972e+04,1.6888e+05,1.2533e+05,1.3038e+08,2.0858e+09,1.2428e+06
,,Std,2.8268e+04,4.5111e+04,8.5576e+06,3.0736e+06,1.8762e+07,7.5840e+05,3.3766e+04,3.0972e+04,8.8976e+04,7.1029e+04,1.4262e+08,1.6878e+09,8.4389e+05
F12:Hybrid2 (N=4),Hybrid,Mean,3.5864e+07,2.3138e+07,6.1506e+08,5.1005e+08,3.4998e+09,1.6764e+08,6.8928e+07,7.3564e+06,2.2732e+08,1.5315e+08,8.0623e+09,3.1668e+10,4.5495e+08
,,Std,2.1602e+07,1.2986e+07,8.0960e+08,3.7522e+08,1.1766e+09,1.4980e+08,4.3265e+07,5.9389e+06,1.8427e+08,9.0304e+07,4.1411e+09,1.0510e+10,9.8685e+07
F13:Hybrid3 (N=5),Hybrid,Mean,4.6165e+06,2.8025e+05,1.1372e+09,3.6680e+08,2.6371e+09,1.2984e+08,3.4711e+06,4.1356e+05,3.8012e+07,5.9931e+07,9.2488e+09,4.8605e+10,8.6295e+07
,,Std,3.9696e+06,1.9087e+05,2.0934e+09,2.1818e+08,1.1118e+09,2.6015e+08,1.3543e+06,5.5281e+05,2.5386e+07,3.3607e+07,5.4717e+09,1.2967e+10,4.5962e+07
F14:Hybrid4 (N=3),Hybrid,Mean,1.0539e+05,3.5924e+05,1.1168e+06,1.4881e+06,5.1126e+04,7.2213e+05,1.7068e+05,1.3804e+05,3.4508e+05,7.6418e+05,5.4261e+06,2.9648e+07,1.1386e+06
,,Std,1.0229e+05,2.4050e+05,1.1371e+06,1.3822e+06,3.2065e+04,6.2540e+05,1.8690e+05,1.1257e+05,3.1229e+05,4.5361e+05,7.8252e+06,2.7715e+07,5.6544e+05
F15:Hybrid5 (N=4),Hybrid,Mean,4.1770e+04,7.8756e+04,1.1867e+05,1.6275e+05,1.2163e+05,1.4109e+05,1.4490e+05,1.3229e+05,1.3039e+05,1.7030e+05,1.4029e+05,1.4014e+07,7.0942e+05
,,Std,1.9513e+04,4.8581e+04,6.0006e+04,8.5005e+04,4.4807e+04,6.3153e+04,4.2621e+04,6.3174e+04,3.9379e+04,4.5630e+04,7.6827e+04,3.0091e+07,3.7537e+05
F16:Hybrid6 (N=4),Hybrid,Mean,8.9551e+03,4.9244e+03,5.7549e+04,5.3493e+04,1.1720e+05,1.8942e+04,3.0935e+04,2.9798e+03,2.8970e+04,3.5490e+05,3.4055e+05,5.0329e+07,8.7167e+04
,,Std,5.3541e+03,3.9007e+03,7.3933e+04,5.9719e+04,7.5058e+04,1.0468e+04,1.1790e+04,1.8115e+03,1.1760e+04,3.3403e+05,5.1345e+05,6.0936e+07,3.9802e+04
F17:Hybrid6 (N=5),Hybrid,Mean,8.1017e+02,6.5179e+02,1.2375e+03,2.1133e+03,1.7661e+03,1.1365e+03,1.0872e+03,9.8043e+02,2.9960e+03,2.8548e+02,4.2128e+03,4.8689e+03,1.1282e+03
,,Std,4.1506e+02,4.1970e+02,4.3676e+02,6.6632e+02,6.9040e+02,3.1316e+02,4.5932e+02,4.5757e+02,6.2294e+02,2.5607e+02,8.3622e+02,9.6789e+02,3.9860e+02
F18:Hybrid7 (N=5),Hybrid,Mean,1.1479e+03,5.4058e+02,1.8348e+03,3.5719e+03,1.6935e+03,6.1323e+02,1.5394e+03,1.7184e+03,3.3171e+03,4.2936e+02,7.2496e+03,1.0674e+04,6.0579e+02
,,Std,7.3614e+02,3.3625e+02,6.6131e+02,7.4091e+02,3.9458e+02,3.7731e+02,7.5111e+02,7.0026e+02,7.3327e+02,2.4771e+02,1.6859e+03,2.2594e+03,2.0622e+02
F19:Hybrid6 (N=5),Hybrid,Mean,1.7971e+05,1.0292e+05,5.6830e+05,1.6554e+06,6.1945e+07,2.9341e+05,4.4696e+05,4.6380e+04,2.0898e+05,3.3776e+05,2.4880e+07,4.4722e+08,1.4239e+07
,,Std,1.9309e+05,5.5401e+04,6.3123e+05,2.0441e+06,3.6241e+07,2.8896e+05,4.7092e+05,1.5035e+04,1.1311e+05,2.2150e+05,7.4611e+07,3.7947e+08,6.6005e+06
F20:Hybrid6 (N=6),Hybrid,Mean,4.1264e+06,3.4784e+06,5.7015e+07,7.0671e+07,2.6310e+08,1.0608e+07,1.2223e+07,7.1804e+05,2.7097e+07,2.7102e+07,4.8895e+08,3.5215e+09,3.7644e+07
,,Std,2.4402e+06,2.4779e+06,8.6602e+07,6.8760e+07,9.2002e+07,7.8898e+06,9.5836e+06,7.2881e+05,1.6761e+07,1.5692e+07,5.9277e+08,1.6082e+09,1.4807e+07
F21:Composition1 (N=3),Composition,Mean,7.7633e+09,2.9899e+10,7.7974e+10,6.9628e+10,2.1806e+11,4.8916e+10,1.4615e+10,1.1667e+09,7.0749e+10,4.2555e+09,5.4789e+11,8.4984e+11,3.4021e+10
,,Std,4.0104e+10,7.6277e+10,4.6723e+10,7.8023e+10,4.1841e+10,4.1747e+10,5.5572e+10,2.4537e+09,9.5741e+10,1.5587e+09,1.5007e+11,7.4835e+10,4.7764e+09
F22:Composition2 (N=3),Composition,Mean,5.1986e+08,8.4476e+09,7.8369e+10,5.6941e+10,2.2208e+11,5.4525e+10,7.8906e+09,1.1950e+09,5.0276e+10,4.2705e+09,5.4908e+11,8.2261e+11,4.5948e+10
,,Std,1.6487e+08,4.3127e+10,4.5503e+10,5.6621e+10,5.4992e+10,3.4210e+10,4.3149e+10,1.6780e+09,8.6258e+10,1.5619e+09,1.4205e+11,7.5741e+10,3.8413e+10
F23:Composition3 (N=4),Composition,Mean,6.7220e+15,1.6905e+16,1.6010e+16,1.6020e+16,5.9341e+15,6.2648e+15,9.4657e+15,7.0985e+15,3.2487e+16,1.2739e+16,6.0968e+16,1.0700e+17,5.6448e+15
