Image,K,Metric,GOA,PSO,GWO,WOA,DE,RIME,MVO,TLBO,SO,SHO,SCSO,SLO,CCO
Brain MRI,K=3,Entropy(mean),6.6399,6.6399,6.6399,6.6399,6.6399,6.6399,6.6399,6.6399,6.6399,6.6399,6.6399,6.6379,6.6399
,,Entropy(std),0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0045,0.0000
,,PSNR(mean),7.8598,7.8598,7.8598,7.8598,7.8598,7.8598,7.8598,7.8598,7.8598,7.8598,7.8566,7.8617,7.8598
,,SSIM(mean),0.6640,0.6640,0.6640,0.6640,0.6640,0.6640,0.6640,0.6640,0.6640,0.6640,0.6639,0.6642,0.6640
Brain MRI,K=5,Entropy(mean),11.0518,11.0517,11.0515,11.0512,11.0514,11.0518,10.9832,11.0518,11.0518,11.0338,11.0344,11.0491,11.0517
,,Entropy(std),0.0000,0.0003,0.0009,0.0030,0.0009,0.0000,0.3758,0.0000,0.0000,0.0076,0.0495,0.0050,0.0006
,,PSNR(mean),8.8459,8.8382,8.8401,8.8459,8.8387,8.8459,8.9494,8.8435,8.8459,8.7669,8.7919,8.8074,8.8392
,,SSIM(mean),0.7004,0.7003,0.7002,0.7004,0.7002,0.7004,0.7019,0.7003,0.7004,0.6986,0.6993,0.6994,0.7002
Brain MRI,K=7,Entropy(mean),14.7044,14.2815,14.6986,14.7042,14.6358,14.7089,14.3503,14.6998,14.6967,14.6196,14.2544,14.6737,14.6854
,,Entropy(std),0.0088,0.7691,0.0177,0.0055,0.0212,0.0019,0.7290,0.0084,0.0528,0.0270,0.7602,0.0290,0.0124
,,PSNR(mean),9.6029,10.0119,9.5632,9.5488,9.6048,9.5524,9.9239,9.5801,9.5421,9.7028,10.0137,9.5756,9.6185
,,SSIM(mean),0.7169,0.7254,0.7167,0.7165,0.7170,0.7166,0.7240,0.7167,0.7165,0.7178,0.7256,0.7165,0.7172
Brain MRI,K=10,Entropy(mean),19.4027,18.3881,19.4381,19.3446,19.1654,19.4729,18.4645,19.3841,16.7063,19.1061,17.7608,19.0718,19.3644
,,Entropy(std),0.2721,1.0570,0.0615,0.1154,0.0820,0.0106,1.0006,0.0583,1.3865,0.1082,1.1411,0.3892,0.0323
,,PSNR(mean),10.3488,11.4388,10.3261,10.1515,10.2857,10.2837,11.3553,10.2736,13.2287,10.4250,11.4171,10.0905,10.2680
,,SSIM(mean),0.7281,0.7499,0.7274,0.7262,0.7268,0.7270,0.7486,0.7270,0.7885,0.7272,0.7558,0.7278,0.7266
Spinal X-ray,K=3,Entropy(mean),7.3758,7.3758,7.3758,7.3758,7.3758,7.3758,7.3758,7.3758,7.3758,7.3758,7.3758,7.3556,7.3758
,,Entropy(std),0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1028,0.0000
,,PSNR(mean),16.7234,16.7234,16.7234,16.7234,16.7234,16.7234,16.7234,16.7234,16.7234,16.7234,16.7234,16.2746,16.7234
,,SSIM(mean),0.5104,0.5104,0.5104,0.5104,0.5104,0.5104,0.5104,0.5104,0.5104,0.5104,0.5104,0.5121,0.5104
Spinal X-ray,K=5,Entropy(mean),11.1551,10.9442,11.1540,11.1551,11.1290,11.1551,11.0135,11.1551,11.0928,11.0162,10.6211,11.0566,11.1541
,,Entropy(std),0.0000,0.6436,0.0061,0.0000,0.0259,0.0000,0.5349,0.0000,0.1618,0.0553,0.7615,0.1394,0.0038
,,PSNR(mean),10.1930,10.2139,10.1916,10.1930,10.2424,10.1930,10.2090,10.1930,9.7742,10.3033,10.3843,10.1668,10.1930
,,SSIM(mean),0.6127,0.6134,0.6127,0.6127,0.6135,0.6127,0.6131,0.6127,0.6056,0.6138,0.6085,0.6106,0.6127
Spinal X-ray,K=7,Entropy(mean),14.2330,13.3648,14.2481,14.0601,14.0246,14.2856,13.2020,14.2789,13.9306,13.9823,13.0938,13.9474,14.2237
,,Entropy(std),0.2770,1.0447,0.0840,0.2407,0.0808,0.0005,0.9217,0.0119,0.7817,0.0852,0.9905,0.1883,0.0350
,,PSNR(mean),10.6802,11.3487,10.6133,9.7243,10.2594,10.7324,11.6054,10.6467,10.8828,9.9122,11.1027,9.1918,10.5285
